Category,Species,Variety,Size,Container,Price
Byliny,Saxifraga arendsii –,Skalnica Arendsa,,"0,8",12
Byliny,Sedum spectabile –,Rozchodnik okazały,,2,15-20
Byliny,Sempervivum -,Rojnik,,3,20
Byliny,Thumus –,Macierzanka piaskowa,,2,14
Byliny,Veronica spicata –,Przetacznik kłosowy,,2,15-16
Byliny,Waldsteinia ternata –,Pragnia syberyjska,,2,15
Trawy i turzyce,Calamagrostis acutiflora -Trzcinnik ostrokwiatowy,"Karl Foerster, Avalanche",,2,18
Trawy i turzyce,Carex buchananii - Turzyca,Red Rooster,,2,20
Trawy i turzyce,Carex morowii – Turzyca Morrowa,"Ice Dance, Irish Green",,2,20
Trawy i turzyce,Cortaderia selloana -Trawa pampasowa,White Feather,,3,30
Trawy i turzyce,Deschampsia caespitosa (Śmiałek darniowy),Goldschleier,,"2,5",18
Trawy i turzyce,Fargesia murieale –,Bambus,,5,60
Trawy i turzyce,Fargesia murieale –,Fargesia Wolong,,5,40
Trawy i turzyce,Festuca glauca – Kostrzewa sina,Elijah Blue,,2,14
Trawy i turzyce,Pic Carlit („Niedźwiedzie futro”),,,"1,5",14
Trawy i turzyce,Hakonechloa macra – Hakonechloa smukła,Aureola,,2,25
Trawy i turzyce,Holcus mollis (Kłosówka miękka),Variegata,,\"1,5\",12
Trawy i turzyce,Imperata cylindrica – Imperata cylindryczna,Red Baron,,2,18
Trawy i turzyce,Miscantus sinensis (Miskant chiński),"Adagio, Ferner Osten, Goldbar, Gracilimus, Silberspinne, Malepartus, Memory, Morning Light, Silberfeder, Zebrinus",,3,25-30
Trawy i turzyce,Panicum virgatum – Proso rózgowate,"Heavy Metal, Rehbraun",,2,16
Trawy i turzyce,Pennisetum alopecuroides (Rozplenica japońska),Hameln,,2,25
Trawy i turzyce,Pennisetum alopecuroides (Rozplenica japońska),Hameln,,5,35
Trawy i turzyce,Pennisetum alopecuroides (Rozplenica japońska),Hameln Gold,,5,35
Trawy i turzyce,Pennisetum alopecuroides (Rozplenica japońska),Little Bunny,,2,20
Trawy i turzyce,Pennisetum alopecuroides (Rozplenica japońska),Moudry,,5,35
Trawy i turzyce,Sesleria autumnalis (Sesleria jesienna),,,2,16
Trawy i turzyce,Stipa –,Ostnica Pony Tails,,2,20
